SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-7.000000;1;904;0.146849;5002;5002;4390;5002;0;0;0;0;0
-5.500000;1;904;0.146849;4997;5002;0;5002;0;0;0;0;0
-5.300000;1;904;0.146849;4970;5002;0;5002;0;0;0;0;0
-5.100000;1;904;0.146849;4792;5002;0;5002;0;0;0;0;0
-4.900000;1;904;0.146849;4392;5002;0;5002;0;0;0;0;0
-4.700000;1;904;0.146849;3513;5002;0;5002;0;0;0;0;0
-4.500000;1;904;0.146849;2392;5002;0;5002;0;0;0;0;0
-4.300000;1;904;0.146849;1298;5002;0;5002;0;0;0;0;0
-4.100000;1;904;0.146849;1000;9678;0;9678;0;0;0;0;0
-3.900000;1;904;0.146849;322;10000;0;10000;0;0;0;0;0
-3.700000;1;904;0.146849;79;10000;0;10000;0;0;0;0;0
-3.500000;1;904;0.146849;16;10000;0;10000;0;0;0;0;0
-3.300000;1;904;0.146849;3;10000;0;10000;0;0;0;0;0
