SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
5.000000;17;7736;0.418887;5002;5002;5002;5002;0;0;0;0;0
6.500000;17;7736;0.418887;5002;5002;108;5002;0;0;0;0;0
6.700000;17;7736;0.418887;5002;5002;7;5002;0;0;0;0;0
6.900000;17;7736;0.418887;5002;5002;0;5002;0;0;0;0;0
7.100000;17;7736;0.418887;5002;5002;0;5002;0;0;0;0;0
7.300000;17;7736;0.418887;5002;5002;0;5002;0;0;0;0;0
7.500000;17;7736;0.418887;5002;5002;0;5002;0;0;0;0;0
7.700000;17;7736;0.418887;5002;5002;0;5002;0;0;0;0;0
7.900000;17;7736;0.418887;5000;5002;0;5002;0;0;0;0;0
8.100000;17;7736;0.418887;4938;5002;0;5002;0;0;0;0;0
8.300000;17;7736;0.418887;4323;5002;0;5002;0;0;0;0;0
8.500000;17;7736;0.418887;2604;5002;0;5002;0;0;0;0;0
8.700000;17;7736;0.418887;1000;5361;0;5361;0;0;0;0;0
8.900000;17;7736;0.418887;362;10000;0;10000;0;0;0;0;0
9.100000;17;7736;0.418887;38;10000;0;10000;0;0;0;0;0
9.300000;17;7736;0.418887;5;10000;0;10000;0;0;0;0;0
