SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
6.000000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
6.100000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
6.200000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
6.300000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
6.400000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
6.500000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
6.600000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
6.700000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
6.800000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
6.900000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
7.000000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
7.100000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
7.200000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
7.300000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
7.400000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
7.500000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
7.600000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
7.700000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
7.800000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
7.900000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.000000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.100000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.200000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.300000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.400000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.500000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.600000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.700000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.800000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.900000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
9.000000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
9.100000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
9.200000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
9.300000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
9.400000;17;7736;0.343822;4987;5002;0;0;0;0;0;0;0
9.500000;17;7736;0.343822;4939;5002;0;0;0;0;0;0;0
9.600000;17;7736;0.343822;4707;5002;0;0;0;0;0;0;0
9.700000;17;7736;0.343822;4220;5002;0;0;0;0;0;0;0
9.800000;17;7736;0.343822;3337;5002;0;0;0;0;0;0;0
9.900000;17;7736;0.343822;2314;5002;0;0;0;0;0;0;0
10.000000;17;7736;0.343822;1353;5002;0;0;0;0;0;0;0
10.100000;17;7736;0.343822;1000;6908;0;0;0;0;0;0;0
10.200000;17;7736;0.343822;781;10000;0;0;0;0;0;0;0
10.300000;17;7736;0.343822;417;10000;0;0;0;0;0;0;0
10.400000;17;7736;0.343822;288;10000;0;0;0;0;0;0;0
10.500000;17;7736;0.343822;209;10000;0;0;0;0;0;0;0
10.600000;17;7736;0.343822;195;10000;0;0;0;0;0;0;0
10.700000;17;7736;0.343822;158;10000;0;0;0;0;0;0;0
10.800000;17;7736;0.343822;203;10000;0;0;0;0;0;0;0
10.900000;17;7736;0.343822;161;10000;0;0;0;0;0;0;0
11.000000;17;7736;0.343822;119;10000;0;0;0;0;0;0;0
11.100000;17;7736;0.343822;138;10000;0;0;0;0;0;0;0
11.200000;17;7736;0.343822;124;10000;0;0;0;0;0;0;0
11.300000;17;7736;0.343822;94;10000;0;0;0;0;0;0;0
