SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
0.000000;5;2216;0.295467;5000;5002;0;0;0;0;0;0;0
0.100000;5;2216;0.295467;4984;5002;0;0;0;0;0;0;0
0.200000;5;2216;0.295467;4928;5002;0;0;0;0;0;0;0
0.300000;5;2216;0.295467;4816;5002;0;0;0;0;0;0;0
0.400000;5;2216;0.295467;4596;5002;0;0;0;0;0;0;0
0.500000;5;2216;0.295467;4121;5002;0;0;0;0;0;0;0
0.600000;5;2216;0.295467;3537;5002;0;0;0;0;0;0;0
0.700000;5;2216;0.295467;2716;5002;0;0;0;0;0;0;0
0.800000;5;2216;0.295467;1973;5002;0;0;0;0;0;0;0
0.900000;5;2216;0.295467;1340;5002;0;0;0;0;0;0;0
1.000000;5;2216;0.295467;1000;6303;0;0;0;0;0;0;0
1.100000;5;2216;0.295467;911;10000;0;0;0;0;0;0;0
1.200000;5;2216;0.295467;491;10000;0;0;0;0;0;0;0
1.300000;5;2216;0.295467;274;10000;0;0;0;0;0;0;0
1.400000;5;2216;0.295467;174;10000;0;0;0;0;0;0;0
1.500000;5;2216;0.295467;150;10000;0;0;0;0;0;0;0
1.600000;5;2216;0.295467;94;10000;0;0;0;0;0;0;0
